Name: Pressure reduced to MSL, Level: 0 meanSea, Units: Pa, Forecast Hour: 0
Name: U component of wind, Level: 350 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 350 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 350 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 350 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 350 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 350 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 350 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 350 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 350 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 400 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 400 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 400 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 400 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 400 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 400 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 400 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 400 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 400 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 400 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 400 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 400 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 400 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 400 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 400 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 400 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 450 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 450 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 450 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 450 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 450 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 450 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 450 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 450 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 450 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 450 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 450 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 450 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 450 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 450 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 450 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 450 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 500 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 500 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 500 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 500 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 500 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 500 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 500 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 500 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 500 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 500 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 500 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 500 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 500 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 500 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 500 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 500 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 550 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 550 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 550 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 550 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 550 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 550 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 550 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 550 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 550 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 550 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 550 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 550 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 550 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 550 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 550 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 550 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 600 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 600 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 600 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 600 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 600 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 600 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 600 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 600 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 600 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 600 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 600 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 600 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 600 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 600 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 600 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 600 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 650 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 650 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 650 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 650 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 650 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 650 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 650 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 650 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 650 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 650 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 650 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 650 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 650 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 650 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 650 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 650 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 700 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 700 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 700 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 700 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 700 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 700 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 700 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 700 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 700 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 700 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 700 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 700 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 700 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 700 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 700 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 700 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 750 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 750 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 750 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 750 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 750 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 750 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 750 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 750 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 750 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 750 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 750 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 750 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 750 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 750 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 750 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 750 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 800 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 800 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 800 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 800 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 800 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 800 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 800 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 800 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 800 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 800 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 800 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 800 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 800 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 800 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 800 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 800 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 850 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 850 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 850 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 850 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 850 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 850 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 850 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 850 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 850 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 850 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 850 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 850 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 850 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 850 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 850 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 850 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 900 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 900 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 900 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 900 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 900 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 900 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 900 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 900 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 900 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 900 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 900 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 900 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 900 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 900 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 900 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 900 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 925 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 925 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 925 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 925 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 925 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 925 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 925 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 925 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 925 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 925 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 925 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 925 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 925 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 925 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 925 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 925 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 950 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 950 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 950 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 950 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 950 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 950 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 950 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 950 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 950 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 950 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 950 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 950 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 950 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 950 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 950 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 950 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Haines Index, Level: 0 surface, Units: Numeric, Forecast Hour: 0
Name: Geopotential height, Level: 975 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 975 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 975 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 975 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 975 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 975 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 975 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 975 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 975 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 975 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 975 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 975 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 975 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 975 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 975 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 975 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Temperature, Level: 1000 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 1000 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Total Cloud Cover, Level: 1000 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 1000 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 1000 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 1000 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 1000 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 1000 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 1000 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 1000 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 1000 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 1000 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 1000 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 1000 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 1000 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: MSLP (Eta model reduction), Level: 0 meanSea, Units: Pa, Forecast Hour: 0
Name: Geopotential height, Level: 1000 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Derived radar reflectivity, Level: 4000 heightAboveGround, Units: dB, Forecast Hour: 0
Name: Derived radar reflectivity, Level: 1000 heightAboveGround, Units: dB, Forecast Hour: 0
Name: Surface pressure, Level: 0 surface, Units: Pa, Forecast Hour: 0
Name: Orography, Level: 0 surface, Units: m, Forecast Hour: 0
Name: Temperature, Level: 0 surface, Units: K, Forecast Hour: 0
Name: Soil temperature, Level: 0 depthBelowLandLayer, Units: K, Forecast Hour: 0
Name: Volumetric soil moisture content, Level: 0 depthBelowLandLayer, Units: Proportion, Forecast Hour: 0
Name: Liquid volumetric soil moisture (non-frozen), Level: 0 depthBelowLandLayer, Units: Proportion, Forecast Hour: 0
Name: Soil temperature, Level: 0 depthBelowLandLayer, Units: K, Forecast Hour: 0
Name: Volumetric soil moisture content, Level: 0 depthBelowLandLayer, Units: Proportion, Forecast Hour: 0
Name: Liquid volumetric soil moisture (non-frozen), Level: 0 depthBelowLandLayer, Units: Proportion, Forecast Hour: 0
Name: Soil temperature, Level: 0 depthBelowLandLayer, Units: K, Forecast Hour: 0
Name: Volumetric soil moisture content, Level: 0 depthBelowLandLayer, Units: Proportion, Forecast Hour: 0
Name: Liquid volumetric soil moisture (non-frozen), Level: 0 depthBelowLandLayer, Units: Proportion, Forecast Hour: 0
Name: Soil temperature, Level: 1 depthBelowLandLayer, Units: K, Forecast Hour: 0
Name: Volumetric soil moisture content, Level: 1 depthBelowLandLayer, Units: Proportion, Forecast Hour: 0
Name: Liquid volumetric soil moisture (non-frozen), Level: 1 depthBelowLandLayer, Units: Proportion, Forecast Hour: 0
Name: Plant canopy surface water, Level: 0 surface, Units: kg m**-2, Forecast Hour: 0
Name: Water equivalent of accumulated snow depth (deprecated), Level: 0 surface, Units: kg m**-2, Forecast Hour: 0
Name: Snow depth, Level: 0 surface, Units: m, Forecast Hour: 0
Name: Sea ice thickness, Level: 0 surface, Units: m, Forecast Hour: 0
Name: 2 metre temperature, Level: 2 heightAboveGround, Units: K, Forecast Hour: 0
Name: 2 metre specific humidity, Level: 2 heightAboveGround, Units: kg kg**-1, Forecast Hour: 0
Name: 2 metre dewpoint temperature, Level: 2 heightAboveGround, Units: K, Forecast Hour: 0
Name: 2 metre relative humidity, Level: 2 heightAboveGround, Units: %, Forecast Hour: 0
Name: Apparent temperature, Level: 2 heightAboveGround, Units: K, Forecast Hour: 0
Name: 10 metre U wind component, Level: 10 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: 10 metre V wind component, Level: 10 heightAboveGround, Units: m s**-1, Forecast Hour: 0
Name: unknown, Level: 10 heightAboveSea, Units: unknown, Forecast Hour: 0
Name: Percent frozen precipitation, Level: 0 surface, Units: %, Forecast Hour: 0
Name: Precipitation rate, Level: 0 surface, Units: kg m**-2 s**-1, Forecast Hour: 0
Name: Categorical snow, Level: 0 surface, Units: (Code table 4.222), Forecast Hour: 0
Name: Categorical ice pellets, Level: 0 surface, Units: (Code table 4.222), Forecast Hour: 0
Name: Categorical freezing rain, Level: 0 surface, Units: (Code table 4.222), Forecast Hour: 0
Name: Categorical rain, Level: 0 surface, Units: (Code table 4.222), Forecast Hour: 0
Name: Forecast surface roughness, Level: 0 surface, Units: m, Forecast Hour: 0
Name: Frictional velocity, Level: 0 surface, Units: m s**-1, Forecast Hour: 0
Name: Vegetation, Level: 0 surface, Units: %, Forecast Hour: 0
Name: Soil type, Level: 0 surface, Units: (Code table 4.213), Forecast Hour: 0
Name: Wilting Point, Level: 0 surface, Units: Fraction, Forecast Hour: 0
Name: Field Capacity, Level: 0 surface, Units: Fraction, Forecast Hour: 0
Name: Sunshine Duration, Level: 0 surface, Units: s, Forecast Hour: 0
Name: Surface lifted index, Level: 0 surface, Units: K, Forecast Hour: 0
Name: Convective available potential energy, Level: 0 surface, Units: J kg**-1, Forecast Hour: 0
Name: Convective inhibition, Level: 0 surface, Units: J kg**-1, Forecast Hour: 0
Name: Precipitable water, Level: 0 atmosphereSingleLayer, Units: kg m**-2, Forecast Hour: 0
Name: Cloud water, Level: 0 atmosphereSingleLayer, Units: kg m**-2, Forecast Hour: 0
Name: Relative humidity, Level: 0 atmosphereSingleLayer, Units: %, Forecast Hour: 0
Name: Total ozone, Level: 0 atmosphereSingleLayer, Units: DU, Forecast Hour: 0
